X,Y,Z
780.55,1405.71,1
780.41,1405.53,1
780.33,1405.45,1
780.55,1405.71,1
867.28,1381.3,0
954.01,1356.89,1
954.45,1356.78,1
956.49,1356.15,1
954.01,1356.89,1
2146.29,1167.33,0
3338.57,977.76,1
3268.31,914.15,1
3174.79,857.17,1
3174.79,857.14,1
3173.41,856.4,1
3173.37,856.44,1
2971.13,769.68,1
2696.31,687.39,1
2372.35,624.89,1
2026.81,600.0,1
1973.06,600.0,1
1627.53,624.89,1
1303.6,687.39,1
1028.85,769.65,1
826.67,856.44,1
826.67,856.4,1
826.47,856.51,1
825.26,857.14,1
825.28,857.16,1
825.3,857.17,1
731.69,914.16,1
661.43,977.77,1
616.05,1048.47,1
600.0,1124.13,1
620.37,1207.51,1
780.76,1405.93,1
848.85,1455.66,1
934.68,1472.67,1
966.86,1470.36,1
998.64,1463.51,1
998.64,1463.59,1
997.36,1463.99,1
998.64,1463.59,1
998.91,1467.52,1
998.73,1463.59,1
1052.69,1448.69,1
1049.51,1456.42,1
897.63,1725.72,1
833.01,1883.23,1
811.11,2048.63,1
811.11,2119.41,1
910.0,2317.82,1
1148.67,2400.0,1
2851.34,2400.0,1
3090.04,2317.8,1
3188.89,2119.41,1
3188.89,2048.63,1
3167.0,1883.23,1
3102.38,1725.72,1
2950.5,1456.42,1
2947.31,1448.66,1
3032.39,1470.29,1
3065.27,1472.63,1
3151.16,1455.62,1
3219.2,1405.94,1
3379.7,1207.4,1
3400.0,1124.1,1
3383.97,1048.44,1
3338.57,977.76,1
3201.92,1168.72,0
3065.27,1359.68,1
3055.59,1359.0,1
2726.3,1276.56,1
2709.82,1270.72,1
2697.15,1261.34,1
2689.2,1249.73,1
2686.49,1236.85,1
2686.84,1138.69,1
2686.84,1138.87,1
2675.86,1089.08,1
2645.93,1046.48,1
2605.79,1016.69,1
2264.27,944.71,1
2019.02,927.03,1
1800.54,937.28,1
1394.28,1016.62,1
1354.02,1046.52,1
1324.15,1089.09,1
1313.15,1138.84,1
1313.15,1138.69,1
1313.55,1236.78,1
1310.8,1249.7,1
1302.85,1261.38,1
1290.15,1270.78,1
1273.7,1276.6,1
954.44,1356.78,1
954.09,1356.89,1
954.0,1356.89,1
944.31,1359.03,1
934.68,1359.73,1
910.56,1355.04,1
893.28,1342.63,1
784.74,1212.04,1
781.73,1209.39,1
746.38,1165.62,1
735.87,1124.13,1
744.11,1086.17,1
771.56,1043.91,1
822.1,998.45,1
899.03,951.99,1
1081.57,873.8,1
1342.44,795.63,1
1649.76,736.32,1
1973.06,712.94,1
2026.81,712.94,1
2350.14,736.33,1
2657.52,795.63,1
2918.44,873.82,1
3177.91,998.45,1
3228.48,1043.91,1
3255.92,1086.16,1
3264.13,1124.09,1
3253.64,1165.62,1
3218.31,1209.39,1
3215.3,1212.07,1
3106.68,1342.63,1
3106.85,1342.41,1
3089.5,1354.98,1
3065.27,1359.68,1
2006.13,1704.15,0
946.98,2048.63,1
965.61,1907.78,1
1020.67,1773.66,1
1175.65,1498.83,1
1213.46,1407.32,1
1306.03,1386.29,1
1363.21,1365.98,1
1408.52,1332.32,1
1438.02,1289.08,1
1449.21,1238.75,1
1449.39,1238.75,1
1449.03,1138.9,1
1451.29,1128.88,1
1458.63,1118.61,1
1471.32,1109.4,1
1489.06,1103.06,1
1539.87,1092.1,1
1539.87,1091.63,1
2182.89,1049.41,1
2460.02,1091.58,1
2460.02,1092.03,1
2510.85,1103.02,1
2528.63,1109.38,1
2541.41,1118.64,1
2548.7,1128.89,1
2550.96,1138.87,1
2550.6,1236.84,1
2561.47,1288.24,1
2591.48,1332.32,1
2636.78,1365.96,1
2693.96,1386.26,1
2786.48,1407.32,1
2824.35,1498.79,1
2979.33,1773.65,1
3034.39,1907.77,1
3053.02,2048.62,1
3053.02,2119.4,1
3037.19,2184.66,1
2993.97,2237.93,1
2929.87,2273.89,1
2851.34,2287.04,1
1148.67,2287.04,1
1070.18,2273.89,1
1006.08,2237.93,1
962.82,2184.65,1
946.99,2119.4,1
946.99,2048.63,1
946.98,2048.63,1
972.86,1756.1,0
998.73,1463.58,1
998.73,1463.47,1
999.93,1463.21,1
998.73,1463.58,1
1286.78,1683.44,0
1574.82,1903.3,1
1787.44,1903.3,1
1787.44,2080.03,1
1574.82,2080.03,1
1574.82,1903.3,1
1574.82,1782.37,0
1574.82,1661.45,1
1787.44,1661.45,1
1787.44,1838.18,1
1574.82,1838.18,1
1574.82,1661.45,1
1574.82,1540.53,0
1574.82,1419.61,1
1787.44,1419.61,1
1787.44,1596.3,1
1574.82,1596.3,1
1574.82,1419.61,1
1734.27,1661.45,0
1893.72,1903.3,1
2106.33,1903.3,1
2106.33,2080.03,1
1893.72,2080.03,1
1893.72,1903.3,1
1893.72,1782.37,0
1893.72,1661.45,1
2106.33,1661.45,1
2106.33,1838.18,1
1893.72,1838.18,1
1893.72,1661.45,1
1893.72,1540.53,0
1893.72,1419.61,1
2106.33,1419.61,1
2106.33,1596.3,1
1893.72,1596.3,1
1893.72,1419.61,1
2053.19,1661.45,0
2212.66,1903.3,1
2425.23,1903.3,1
2425.23,2080.03,1
2212.66,2080.03,1
2212.66,1903.3,1
2212.66,1782.37,0
2212.66,1661.45,1
2425.23,1661.45,1
2425.23,1838.18,1
2212.66,1838.18,1
2212.66,1661.45,1
2212.66,1540.53,0
2212.66,1419.61,1
2425.23,1419.61,1
2425.23,1596.3,1
2212.66,1596.3,1
2212.66,1419.61,1
