X,Y,Z
2753.19,600.0,1
2719.15,642.35,1
2685.11,684.71,1
2668.09,721.76,1
2651.06,758.82,1
2655.32,806.47,1
2659.57,854.12,1
2680.85,901.76,1
2702.13,949.41,1
2685.11,901.76,0
2668.09,854.12,1
2702.13,912.35,1
2736.17,970.59,1
2770.21,986.47,1
2804.26,1002.35,1
2834.04,991.76,1
2863.83,981.18,1
2897.87,938.82,1
2931.91,896.47,1
2880.85,864.71,0
2829.79,832.94,1
2829.79,795.88,1
2829.79,758.82,1
2808.51,801.18,1
2787.23,843.53,1
2800.0,801.18,1
2812.77,758.82,1
2863.83,727.06,0
2914.89,695.29,1
2885.11,647.65,1
2855.32,600.0,1
2821.28,600.0,1
2787.23,600.0,1
2753.19,610.59,1
2719.15,621.18,1
2680.85,690.0,1
2642.55,758.82,1
2753.19,684.71,0
2863.83,610.59,1
2897.87,652.94,1
2931.91,695.29,1
2940.43,742.94,1
2948.94,790.59,1
2944.68,832.94,1
2940.43,875.29,1
2897.87,1002.35,0
2855.32,1129.41,1
2868.09,1171.76,1
2880.85,1214.12,1
2880.85,1261.76,1
2880.85,1309.41,1
2880.85,1351.76,1
2880.85,1394.12,1
2876.6,1436.47,1
2872.34,1478.82,1
2872.34,1521.18,1
2872.34,1563.53,1
2872.34,1605.88,1
2872.34,1648.24,1
2876.6,1695.88,1
2880.85,1743.53,1
2880.85,1785.88,1
2880.85,1828.24,1
2880.85,1870.59,1
2880.85,1912.94,1
2880.85,1955.29,1
2880.85,1997.65,1
2863.83,2040.0,1
2846.81,2082.35,1
2859.57,2077.06,1
2872.34,2071.76,1
2906.38,2066.47,1
2940.43,2061.18,1
2974.47,2066.47,1
3008.51,2071.76,1
3042.55,2066.47,1
3076.6,2061.18,1
3085.11,2050.59,0
3093.62,2040.0,1
3089.36,2040.0,1
3085.11,2040.0,1
3080.85,2029.41,1
3076.6,2018.82,1
3072.34,2008.24,1
3068.09,1997.65,1
3068.09,1992.35,1
3068.09,1987.06,1
3059.57,1987.06,1
3051.06,1987.06,1
3046.81,1976.47,1
3042.55,1965.88,1
3034.04,1791.18,0
3025.53,1616.47,1
3059.57,1605.88,1
3093.62,1595.29,1
3127.66,1600.59,1
3161.7,1605.88,1
3182.98,1621.76,1
3204.26,1637.65,1
3200.0,1685.29,1
3195.74,1732.94,1
3195.74,1775.29,1
3195.74,1817.65,1
3195.74,1860.0,1
3195.74,1902.35,1
3195.74,1944.71,1
3195.74,1987.06,1
3178.72,2029.41,1
3161.7,2071.76,1
3187.23,2087.65,1
3212.77,2103.53,1
3246.81,2098.24,1
3280.85,2092.94,1
3314.89,2098.24,1
3348.94,2103.53,1
3374.47,2071.76,0
3400.0,2040.0,1
3395.74,2034.71,1
3391.49,2029.41,1
3387.23,2018.82,1
3382.98,2008.24,1
3374.47,2002.94,1
3365.96,1997.65,1
3361.7,1992.35,1
3357.45,1987.06,1
3378.72,2034.71,0
3400.0,2082.35,1
3378.72,2040.0,1
3357.45,1997.65,1
3357.45,1955.29,1
3357.45,1912.94,1
3357.45,1870.59,1
3357.45,1828.24,1
3357.45,1785.88,1
3357.45,1743.53,1
3357.45,1701.18,1
3357.45,1658.82,1
3361.7,1616.47,1
3365.96,1574.12,1
3365.96,1531.76,1
3365.96,1489.41,1
3370.21,1441.76,1
3374.47,1394.12,1
3374.47,1351.76,1
3374.47,1309.41,1
3382.98,1267.06,1
3391.49,1224.71,1
3391.49,1198.24,1
3391.49,1171.76,1
3353.19,1161.18,1
3314.89,1150.59,1
3276.6,1150.59,1
3238.3,1150.59,1
3208.51,1150.59,1
3178.72,1150.59,1
3119.15,1155.88,1
3059.57,1161.18,1
3025.53,1161.18,1
2991.49,1161.18,1
2957.45,1155.88,1
2923.4,1150.59,1
2889.36,1150.59,1
2855.32,1150.59,1
2851.06,1177.06,1
2846.81,1203.53,1
2851.06,1198.24,0
2855.32,1192.94,1
2889.36,1177.06,1
2923.4,1161.18,1
2957.45,1155.88,1
2991.49,1150.59,1
3025.53,1150.59,1
3059.57,1150.59,1
3080.85,1155.88,1
3102.13,1161.18,1
3072.34,1203.53,1
3042.55,1245.88,1
3042.55,1293.53,1
3042.55,1341.18,1
3055.32,1288.24,0
3068.09,1235.29,1
3059.57,1240.59,1
3051.06,1245.88,1
3046.81,1245.88,1
3042.55,1245.88,1
3038.3,1245.88,1
3034.04,1245.88,1
3029.79,1240.59,1
3025.53,1235.29,1
3017.02,1235.29,1
3008.51,1235.29,1
3051.06,1208.82,0
3093.62,1182.35,1
3068.09,1219.41,1
3042.55,1256.47,1
3038.3,1298.82,1
3034.04,1341.18,1
3051.06,1362.35,1
3068.09,1383.53,1
3102.13,1383.53,1
3136.17,1383.53,1
3174.47,1304.12,0
3212.77,1224.71,1
3204.26,1224.71,1
3195.74,1224.71,1
3191.49,1214.12,1
3187.23,1203.53,1
3178.72,1198.24,1
3170.21,1192.94,1
3165.96,1187.65,1
3161.7,1182.35,1
3153.19,1150.59,0
3144.68,1118.82,1
3170.21,1161.18,1
3195.74,1203.53,1
3195.74,1245.88,1
3195.74,1288.24,1
3276.6,1251.18,0
3357.45,1214.12,1
3357.45,1208.82,1
3357.45,1203.53,1
3365.96,1198.24,1
3374.47,1192.94,1
3387.23,1187.65,0
3400.0,1182.35,1
3382.98,1224.71,1
3365.96,1267.06,1
3370.21,1309.41,1
3374.47,1351.76,1
3378.72,1394.12,1
3382.98,1436.47,1
3382.98,1478.82,1
3382.98,1521.18,1
3382.98,1563.53,1
3382.98,1605.88,1
3378.72,1642.94,1
3374.47,1680.0,1
3374.47,1711.76,1
3374.47,1743.53,1
3374.47,1780.59,1
3374.47,1817.65,1
3374.47,1854.71,1
3374.47,1891.76,1
3374.47,1934.12,1
3374.47,1976.47,1
3272.34,1992.35,0
3170.21,2008.24,1
3165.96,2024.12,1
3161.7,2040.0,1
